close,date,high,low,mcap,open,volume
6377.78,2018-11-01,6547.14,6311.83,110683820788.0,6318.14,3789400000.0
6317.61,2018-10-31,6349.16,6316.88,109627117226.0,6336.99,4191240000.0
6334.27,2018-10-30,6364.99,6310.14,109903543419.0,6337.04,3781100000.0
6332.63,2018-10-29,6503.6,6306.99,109862898081.0,6492.35,4199910000.0
6486.39,2018-10-28,6502.28,6447.91,112518434372.0,6482.66,3445190000.0
6480.38,2018-10-27,6507.41,6453.53,112403001148.0,6480.84,3393250000.0
6474.75,2018-10-26,6498.29,6449.61,112294341019.0,6468.44,3306050000.0
6476.29,2018-10-25,6504.65,6447.03,112309554478.0,6484.65,3230550000.0
6495.84,2018-10-24,6521.99,6468.86,112637293966.0,6478.89,3424670000.0
6475.74,2018-10-23,6506.01,6451.27,112279779884.0,6472.36,3716150000.0
6487.16,2018-10-22,6543.8,6462.98,112465213723.0,6486.05,3672860000.0
6482.35,2018-10-21,6556.38,6476.0,112369106369.0,6490.09,3253610000.0
6489.19,2018-10-20,6497.72,6449.0,112476559221.0,6460.92,3379130000.0
6465.41,2018-10-19,6493.68,6445.31,112052990522.0,6478.07,3578870000.0
6476.71,2018-10-18,6567.54,6450.04,112237252159.0,6542.33,3924080000.0
6544.43,2018-10-17,6601.21,6517.45,113399343801.0,6590.52,4088420000.0
6596.11,2018-10-16,6673.59,6571.37,114283707152.0,6601.41,4074800000.0
6596.54,2018-10-15,6965.06,6258.68,114280022340.0,6292.64,7370770000.0
6290.93,2018-10-14,6363.21,6280.15,108972590373.0,6288.49,3085320000.0
6285.99,2018-10-13,6308.51,6259.81,108878136724.0,6278.08,3064030000.0
6274.58,2018-10-12,6328.5,6236.47,108669526315.0,6239.25,3783500000.0
6256.24,2018-10-11,6586.74,6243.74,108341572839.0,6586.74,5181640000.0
6585.53,2018-10-10,6640.29,6538.96,114030835912.0,6640.29,3787650000.0
6642.64,2018-10-09,6661.41,6606.94,115007759484.0,6653.08,3580810000.0
6652.23,2018-10-08,6675.06,6576.04,115162906843.0,6600.19,3979460000.0
6602.95,2018-10-07,6641.49,6557.04,114298880311.0,6590.68,3306630000.0
6588.31,2018-10-06,6628.54,6577.8,114033598927.0,6622.45,3259740000.0
6622.48,2018-10-05,6623.62,6557.41,114614764674.0,6574.15,3671500000.0
6576.69,2018-10-04,6603.31,6497.91,113811343543.0,6497.91,3838410000.0
6502.59,2018-10-03,6571.46,6454.03,112516993837.0,6553.86,3887310000.0
6556.1,2018-10-02,6611.84,6537.9,113431019760.0,6593.24,3979260000.0
6589.62,2018-10-01,6653.3,6549.08,113999846113.0,6619.85,4000970000.0
6625.56,2018-09-30,6643.78,6566.54,114608519470.0,6604.71,4002280000.0
6601.96,2018-09-29,6643.1,6511.65,114186839964.0,6643.1,4363690000.0
6644.13,2018-09-28,6785.03,6598.32,114903584220.0,6678.75,5014430000.0
6676.75,2018-09-27,6712.1,6464.95,115454861756.0,6495.29,4606810000.0
6495.0,2018-09-26,6585.91,6397.89,112300336125.0,6452.79,4437300000.0
6446.47,2018-09-25,6603.64,6381.86,111450035114.0,6603.64,4726180000.0
6595.41,2018-09-24,6713.56,6580.9,114011060309.0,6704.77,4177310000.0
6710.63,2018-09-23,6766.15,6679.42,115990387532.0,6715.32,4197500000.0
6721.98,2018-09-22,6814.56,6616.8,116173876360.0,6735.05,4509660000.0
6734.95,2018-09-21,6794.33,6496.36,116385068032.0,6513.87,6531940000.0
6519.67,2018-09-20,6529.26,6395.95,112653130183.0,6398.85,4348110000.0
6398.54,2018-09-19,6448.46,6208.34,110547735544.0,6371.85,4431340000.0
6371.3,2018-09-18,6384.18,6265.71,110064685348.0,6280.91,4180090000.0
6281.2,2018-09-17,6540.21,6257.52,108497127334.0,6514.06,3910780000.0
6517.18,2018-09-16,6544.33,6460.1,112562367224.0,6536.68,3273730000.0
6543.2,2018-09-15,6561.72,6493.55,113000324618.0,6509.4,3216300000.0
6512.71,2018-09-14,6596.1,6456.17,112462453186.0,6515.41,4076220000.0
6517.31,2018-09-13,6535.41,6354.24,112530970182.0,6354.24,4210910000.0
6351.8,2018-09-12,6363.87,6265.09,109661521297.0,6317.01,4064230000.0
6321.2,2018-09-11,6398.92,6260.21,109119948884.0,6331.88,3849910000.0
6329.7,2018-09-10,6374.98,6292.76,109255603474.0,6301.57,3714100000.0
6300.86,2018-09-09,6446.26,6201.22,108747090915.0,6223.38,3671890000.0
6225.98,2018-09-08,6534.25,6197.52,107442122871.0,6460.17,3835060000.0
6467.07,2018-09-07,6555.29,6396.87,111590424587.0,6528.92,4264680000.0
6529.17,2018-09-06,6755.14,6404.72,112649565532.0,6755.14,5523470000.0
6792.83,2018-09-05,7388.43,6792.83,117185657641.0,7361.46,5800460000.0
