Crime Clusters,Latitude,Longitude,Count
Crime Cluster 171,41.69824671,-87.61777151,1035
Crime Cluster 172,41.77167343,-87.6613445,2110
Crime Cluster 173,41.72564995,-87.58041839,3085
Crime Cluster 174,41.70808875,-87.65221757,1583
Crime Cluster 175,41.9354152,-87.78043767,2599
Crime Cluster 176,41.78529304,-87.71627992,1479
Crime Cluster 177,41.91659332,-87.73232826,1283
Crime Cluster 178,41.77690768,-87.70468246,3111
Crime Cluster 179,41.81049164,-87.70735894,2676
Crime Cluster 180,41.89330372,-87.7211579,2495
Crime Cluster 181,41.68898101,-87.60951989,1223
Crime Cluster 182,41.91017787,-87.69145546,4502
Crime Cluster 183,41.90926289,-87.74656554,4157
Crime Cluster 184,41.88202895,-87.74766323,1890
Crime Cluster 185,41.87657947,-87.62823097,1459
Crime Cluster 186,41.90937072,-87.63767198,2763
Crime Cluster 187,41.79395987,-87.63257059,1430
Crime Cluster 188,41.83091214,-87.67948434,4698
Crime Cluster 189,41.84449562,-87.70907393,747
Crime Cluster 190,41.93079406,-87.79688815,1870
Crime Cluster 191,41.77807217,-87.78816036,587
Crime Cluster 192,41.65445161,-87.5467259,3524
Crime Cluster 193,41.8277118,-87.62147678,2936
Crime Cluster 194,41.85260493,-87.72772706,1180
Crime Cluster 195,41.90042484,-87.64131183,2034
Crime Cluster 196,41.76304437,-87.65407417,2958
Crime Cluster 197,41.85738305,-87.65104265,1122
Crime Cluster 198,41.80718919,-87.67151447,2011
Crime Cluster 199,41.75128603,-87.67013496,2703
Crime Cluster 200,41.74443047,-87.7050869,2892
Crime Cluster 201,41.76485342,-87.66475731,2816
Crime Cluster 202,41.9770611,-87.65709843,4532
Crime Cluster 203,41.73213148,-87.65980108,1566
Crime Cluster 204,41.89424467,-87.74858917,792
Crime Cluster 205,41.96671314,-87.75888877,2332
Crime Cluster 206,41.91478525,-87.70451588,3397
Crime Cluster 207,41.89742889,-87.62529033,1974
Crime Cluster 208,41.84169673,-87.61982362,3303
Crime Cluster 209,41.80559238,-87.74417315,2201
Crime Cluster 210,41.80369806,-87.61387634,2357
Crime Cluster 211,41.96783746,-87.71142567,3736
Crime Cluster 212,41.98696225,-87.71355169,1809
Crime Cluster 213,41.97656345,-87.84088927,2005
Crime Cluster 214,41.7236254,-87.59691026,1680
Crime Cluster 215,41.92274576,-87.63994808,1685
Crime Cluster 216,41.85117486,-87.69382373,3107
Crime Cluster 217,41.74118788,-87.73358829,1240
Crime Cluster 218,41.96676134,-87.66629114,2550
Crime Cluster 219,41.88250434,-87.70747703,2763
Crime Cluster 220,41.79615328,-87.72638674,2106
Crime Cluster 221,41.75021507,-87.66182249,2134
Crime Cluster 222,41.97291339,-87.67844416,889
Crime Cluster 223,41.82793132,-87.63513078,1049
Crime Cluster 224,41.70830737,-87.62763867,1699
Crime Cluster 225,41.9374214,-87.6771798,3985
Crime Cluster 226,41.6898136,-87.70356552,3691
Crime Cluster 227,41.72274787,-87.62767451,2075
Crime Cluster 228,41.93781867,-87.74931862,1635
Crime Cluster 229,41.86945444,-87.69764508,1580
Crime Cluster 230,41.81018832,-87.68683331,4380
Crime Cluster 231,41.7393398,-87.66734004,2190
Crime Cluster 232,41.76774895,-87.57388552,2139
Crime Cluster 233,41.88611176,-87.76171263,2944
Crime Cluster 234,41.7402956,-87.54718504,2197
Crime Cluster 235,41.70547406,-87.66716292,4131
Crime Cluster 236,42.01414618,-87.68391587,2450
Crime Cluster 237,41.75437638,-87.55672588,3469
Crime Cluster 238,41.79207383,-87.78062767,3115
Crime Cluster 239,41.92173095,-87.78398505,1768
Crime Cluster 240,41.67992872,-87.65821751,2902
Crime Cluster 241,41.77704498,-87.69497013,3735
Crime Cluster 242,41.87578768,-87.73400157,1771
Crime Cluster 243,41.73728604,-87.58594723,2930
Crime Cluster 244,41.814288,-87.61362076,353
Crime Cluster 245,41.74554732,-87.6029305,3865
Crime Cluster 246,41.92938035,-87.72354059,1490
Crime Cluster 247,42.01085243,-87.69950884,51
Crime Cluster 248,41.79717139,-87.75590295,680
Crime Cluster 249,41.93918242,-87.71796758,1714
Crime Cluster 250,41.7478211,-87.61414411,1877
Crime Cluster 251,41.79386693,-87.7681589,1908
Crime Cluster 252,41.70327702,-87.53471292,1801
Crime Cluster 253,41.97714625,-87.88562693,3598
Crime Cluster 254,41.75184441,-87.60053846,2137
Crime Cluster 255,41.88329722,-87.71853073,2695
Crime Cluster 256,41.96229048,-87.68817072,1475
Crime Cluster 257,41.92255377,-87.77005464,2018
