SexOffenders Clusters,Latitude,Longitude,Count
SexOffenders Cluster 160,40.77461673,-73.95507336,11
SexOffenders Cluster 161,39.8297775,-105.0987749,7
SexOffenders Cluster 162,41.7978523,-87.67629217,4
SexOffenders Cluster 163,41.86154658,-87.71130648,5
SexOffenders Cluster 164,40.76033944,-73.9874082,2
SexOffenders Cluster 165,41.7147354,-87.5735823,2
SexOffenders Cluster 166,40.810843,-73.95068,7
SexOffenders Cluster 167,41.833407,-87.6104216,7
SexOffenders Cluster 168,41.8529041,-87.6905391,1
SexOffenders Cluster 169,41.9530696,-87.7755534,6
SexOffenders Cluster 170,41.8957737,-87.6843877,2
SexOffenders Cluster 171,42.00845735,-87.6818039,1
SexOffenders Cluster 172,41.9062537,-87.7288507,8
SexOffenders Cluster 173,41.8710991,-87.6923749,3
SexOffenders Cluster 174,41.74225245,-87.56061993,1
SexOffenders Cluster 175,41.8744672,-87.70957545,2
SexOffenders Cluster 176,41.8714119,-87.6542184,3
SexOffenders Cluster 177,41.7868847,-87.7791691,4
SexOffenders Cluster 178,40.78130003,-73.97742355,2
SexOffenders Cluster 179,41.95417145,-87.67786265,1
SexOffenders Cluster 180,41.7740666,-87.6239578,1
SexOffenders Cluster 181,41.93930324,-87.72535132,11
SexOffenders Cluster 182,40.7674643,-73.96143622,2
SexOffenders Cluster 183,41.8130047,-87.61336905,4
SexOffenders Cluster 184,41.9126673,-87.6605419,15
SexOffenders Cluster 185,41.9456177,-87.7887681,6
SexOffenders Cluster 186,41.80221576,-87.66579466,3
SexOffenders Cluster 187,41.9768297,-87.8237088,8
SexOffenders Cluster 188,41.89437855,-87.66017605,1
SexOffenders Cluster 189,40.80190502,-73.96049708,3
SexOffenders Cluster 190,41.9885744,-87.6993299,3
SexOffenders Cluster 191,39.827687,-105.12524,2
SexOffenders Cluster 192,41.76410176,-87.64102948,5
SexOffenders Cluster 193,41.9522769,-87.7392288,1
SexOffenders Cluster 194,41.75283697,-87.63874434,1
SexOffenders Cluster 195,41.891637,-87.6720405,7
SexOffenders Cluster 196,41.8526748,-87.7064764,1
SexOffenders Cluster 197,41.9086776,-87.8176616,1
SexOffenders Cluster 198,41.8548649,-87.6808253,4
SexOffenders Cluster 199,41.9244358,-87.7341124,3
SexOffenders Cluster 200,41.92464345,-87.70392695,4
SexOffenders Cluster 201,41.72215418,-87.62601924,3
SexOffenders Cluster 202,41.9055402,-87.71011807,8
SexOffenders Cluster 203,41.70731415,-87.67229305,4
SexOffenders Cluster 204,41.7772252,-87.6975967,1
SexOffenders Cluster 205,41.7603608,-87.7221252,6
SexOffenders Cluster 206,39.7036944,-104.9290352,1
SexOffenders Cluster 207,41.93769597,-87.70997689,4
SexOffenders Cluster 208,41.9028763,-87.7019616,10
SexOffenders Cluster 209,41.77472903,-87.65599893,2
SexOffenders Cluster 210,41.94952918,-87.69618614,8
SexOffenders Cluster 211,41.87700605,-87.70108796,1
SexOffenders Cluster 212,39.943948,-104.9333723,1
SexOffenders Cluster 213,41.78051524,-87.69185389,3
SexOffenders Cluster 214,41.7540179,-87.5907636,1
SexOffenders Cluster 215,41.9386922,-87.6431355,6
SexOffenders Cluster 216,41.8789293,-87.7205907,1
SexOffenders Cluster 217,41.7952225,-87.6852966,1
SexOffenders Cluster 218,41.95144275,-87.75830857,2
SexOffenders Cluster 219,41.9307757,-87.6415395,1
SexOffenders Cluster 220,41.7530197,-87.6101244,1
SexOffenders Cluster 221,41.9665658,-87.7157465,3
SexOffenders Cluster 222,41.766752,-87.6626637,4
SexOffenders Cluster 223,41.8023436,-87.7258696,4
SexOffenders Cluster 224,41.7607494,-87.7026857,1
SexOffenders Cluster 225,40.805037,-73.9527766,1
SexOffenders Cluster 226,41.6950696,-87.7107032,1
SexOffenders Cluster 227,41.76562418,-87.58384033,2
SexOffenders Cluster 228,41.805699,-87.7504297,1
SexOffenders Cluster 229,41.7564433,-87.6442106,3
SexOffenders Cluster 230,41.91826764,-87.72792188,3
SexOffenders Cluster 231,40.76121723,-73.96652003,6
SexOffenders Cluster 232,41.9600484,-87.8072127,3
SexOffenders Cluster 233,41.7879815,-87.77066798,3
SexOffenders Cluster 234,41.74699645,-87.7083462,2
SexOffenders Cluster 235,41.7705939,-87.60664068,1
SexOffenders Cluster 236,41.7088691,-87.6336322,3
SexOffenders Cluster 237,41.9593022,-87.7142979,4
SexOffenders Cluster 238,41.7129076,-87.735672,8
SexOffenders Cluster 239,41.93259013,-87.76423058,1
SexOffenders Cluster 240,41.73753017,-87.56882465,2
SexOffenders Cluster 241,41.7650669,-87.6529037,3
SexOffenders Cluster 242,41.466845,-81.59732,1
SexOffenders Cluster 243,42.0120891,-87.670172,1
SexOffenders Cluster 244,41.965715,-87.6912397,4
SexOffenders Cluster 245,42.0040593,-87.8181723,4
SexOffenders Cluster 246,41.9922066,-87.6651954,3
SexOffenders Cluster 247,41.73115275,-87.60586005,3
SexOffenders Cluster 248,41.93163925,-87.6791272,1
SexOffenders Cluster 249,41.9470542,-87.7445472,13
SexOffenders Cluster 250,41.7354583,-87.558307,5
SexOffenders Cluster 251,41.9608272,-87.7388669,3
SexOffenders Cluster 252,41.9091984,-87.68488915,2
SexOffenders Cluster 253,41.74446363,-87.5658248,1
SexOffenders Cluster 254,41.8763504,-87.6323904,1
SexOffenders Cluster 255,41.888063,-87.6205458,7
SexOffenders Cluster 256,41.8231148,-87.6701953,6
SexOffenders Cluster 257,41.9791759,-87.7482916,1
SexOffenders Cluster 258,41.9151752,-87.7399932,1
SexOffenders Cluster 259,41.7464873,-87.6815929,4
SexOffenders Cluster 260,41.8083506,-87.6893104,4
SexOffenders Cluster 261,41.9436641,-87.7947046,2
SexOffenders Cluster 262,41.86707437,-87.70037953,3
SexOffenders Cluster 263,41.7391066,-87.640402,1
SexOffenders Cluster 264,40.78583488,-73.97622664,1
SexOffenders Cluster 265,40.74074495,-74.00046638,3
SexOffenders Cluster 266,41.7841518,-87.7204553,1
SexOffenders Cluster 267,41.9531394,-87.7706811,5
SexOffenders Cluster 268,41.73748423,-87.60962615,5
SexOffenders Cluster 269,41.8875968,-87.681693,14
SexOffenders Cluster 270,41.920509,-87.7517372,1
SexOffenders Cluster 271,41.9403055,-87.7450393,3
SexOffenders Cluster 272,41.95287093,-87.70635647,1
SexOffenders Cluster 273,41.9463463,-87.7292146,7
SexOffenders Cluster 274,41.978201,-87.6550332,4
SexOffenders Cluster 275,41.6756487,-87.5592617,4
SexOffenders Cluster 276,41.7583876,-87.58587703,1
SexOffenders Cluster 277,41.94119479,-87.71606131,2
SexOffenders Cluster 278,41.7804559,-87.6010685,6
SexOffenders Cluster 279,41.9701326,-87.6846638,1
SexOffenders Cluster 280,41.8520363,-87.6611313,9
SexOffenders Cluster 281,41.6812389,-87.6683506,1
SexOffenders Cluster 282,41.8054256,-87.6721787,2
SexOffenders Cluster 283,40.798503,-73.96712,6
SexOffenders Cluster 284,41.9491369,-87.68910023,3
SexOffenders Cluster 285,41.7396548,-87.6461471,5
SexOffenders Cluster 286,41.9463229,-87.7312736,4
SexOffenders Cluster 287,41.7090239,-87.5620999,4
SexOffenders Cluster 288,41.74830434,-87.5821981,3
SexOffenders Cluster 289,41.94501873,-87.73966403,10
SexOffenders Cluster 290,41.7339112,-87.6046775,2
SexOffenders Cluster 291,41.7936005,-87.6986753,1
SexOffenders Cluster 292,41.6817533,-87.6855805,2
SexOffenders Cluster 293,41.95274293,-87.79706813,8
SexOffenders Cluster 294,41.93133443,-87.73616523,1
SexOffenders Cluster 295,41.7870058,-87.67615563,5
SexOffenders Cluster 296,41.9376365,-87.73333995,5
SexOffenders Cluster 297,40.77835987,-73.9816733,4
SexOffenders Cluster 298,41.7558801,-87.6247045,5
SexOffenders Cluster 299,41.8576587,-87.6226594,7
SexOffenders Cluster 300,40.7542445,-73.99196947,2
